Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
JSWHL,JSW Holdings Limited,10999,INR,1.233317993557294,2154,0.7471902317191619,120510846742,INR,83.24119209197323,132.1341,INR,-25.104534682501946,0,Finance,No rating
LLOYDSENT,Lloyds Enterprises Limited,81.64,INR,4.613018964633513,5630540,0.6493099506224651,118788936182,INR,40.76089669978531,2.0029,INR,388.15500853034365,0.256607646907878,Distribution services,No rating
INDGN,Indegene Limited,508.05,INR,3.1259514868568017,165173,1.6378134987015331,118730238808,INR,30.518279130675058,16.6474,INR,-1.4672719632086901,0.405885337392187,Health technology,Buy
VISL,Vedanta Iron And Steel Limited,30.36,INR,0.03294892915979575,26150010,0.6102955199842685,118719380229,INR,,,,,0,Non-energy minerals,No rating
SHILPAMED,Shilpa Medicare Limited,620.6,INR,2.375453645661494,305420,0.5734719915580805,118718163300,INR,49.89708625458288,12.4376,INR,209.8477865524028,0.0823723228995058,Health technology,Buy
SEDEMAC,SEDEMAC Mechatronics Ltd.,2778.3,INR,3.3132530120482064,121002,1.5490575868642087,118704576083,INR,,,,,0,Producer manufacturing,Strong buy
IRCON,IRCON International Ltd.,126.48,INR,0.3252161497580795,660499,0.6568927899616684,118599034270,INR,19.968109123632402,6.3341,INR,-18.102712627033178,1.74464710547185,Industrial services,Neutral
PRUDENT,Prudent Corporate Advisory Services Limited,2870,INR,0.3882612193500965,133291,5.955835370131234,118526624537,INR,53.51761792523197,53.6272,INR,13.497440195387494,0.0873362445414847,Finance,Buy
METROPOLIS,Metropolis Healthcare Ltd.,577.35,INR,1.2450679526523494,357337,1.413754290179322,118417659850,INR,63.15012305168171,9.1425,INR,30.06828851899275,0.350170708220257,Health services,Buy
UTLSOLAR,Fujiyama Power Systems Limited,384.4,INR,0.1563314226159369,181974,0.29600540563577216,117819585294,INR,36.30285115264385,10.5887,INR,,0,Electronic technology,Strong buy
BLUESTONE,Bluestone Jewellery and Lifestyle Limited,820.75,INR,6.259709994821339,20293817,1.895817614311084,117791338845,INR,211.8283177618335,3.8746,INR,,0,Retail trade,Strong buy
TEGA,Tega Industries Ltd.,1510.5,INR,-3.191693905018263,114630,2.107909210770693,117510983116,INR,73.41505142212804,20.5748,INR,-31.59336640378759,0.127864974586836,Distribution services,Buy
JAINREC,Jain Resource Recycling Limited,338.45,INR,-0.7478005865102673,721453,0.5173404601654163,117260155871,INR,33.12908056890594,10.2161,INR,,0,Non-energy minerals,Buy
JMFINANCIL,JM Financial Limited,124.36,INR,1.892666939778781,1505925,0.7889909429702462,116796966153,INR,9.89851554105146,12.5635,INR,46.3049655300913,2.66284309709136,Finance,Strong buy
AVALON,Avalon Technologies Limited,1728.2,INR,-0.7637094458799859,278018,1.1262145518563917,116369382891,INR,102.56379821958457,16.85,INR,77.2042739357227,0,Electronic technology,Neutral
JPPOWER,Jaiprakash Power Ventures Limited,17.01,INR,0.3539823008849692,28221162,0.45191052303714163,116234658100,INR,24.015247776365946,0.7083,INR,-12.555555555555555,0,Utilities,No rating
BLUEDART,Blue Dart Express Limited,5114.2,INR,4.12704876310699,37705,4.588378460602373,116189760245,INR,49.05072244841196,104.2635,INR,-1.9903948923161991,0.510542706897432,Transportation,Buy
JUBLINGREA,Jubilant Ingrevia Ltd.,744.1,INR,2.556681138446705,445843,0.4786137813304523,115558469383,INR,38.286202354490825,19.4352,INR,10.745666518513453,0.689179875947622,Process industries,Strong buy
TECHNOE,Techno Electric & Engineering Company Limited,997.2,INR,0.5444646098003721,132972,1.1799668652327198,115555248101,INR,24.471826233346178,40.7489,INR,9.637607656274806,0.905797101449275,Industrial services,Strong buy
ZENSARTECH,Zensar Technologies Limited,515.4,INR,1.8778414706463729,2237749,0.290929313343459,115098019529,INR,15.307395307395305,33.67,INR,18.598097921803454,2.64900662251656,Technology services,Buy
ABLBL,Aditya Birla Lifestyle Brands Limited,95.47,INR,1.5530262738006526,287808,0.5869717910585348,114838873481,INR,68.28553036263501,1.3981,INR,,0,Retail trade,Buy
UTIAMC,UTI Asset Management Co. Ltd.,904,INR,2.564102564102567,210439,0.42537265764979076,113187531417,INR,25.244768133506845,35.8094,INR,-35.64090582314882,2.95253236429707,Finance,Buy
JKTYRE,JK Tyre & Industries Limited,399.6,INR,2.304147465437788,438325,0.44748830757180946,112519384329,INR,14.489863260074191,27.5779,INR,52.9437536741462,0.768639508070715,Consumer durables,Buy
NAZARA,Nazara Technologies Ltd.,303.4,INR,0.3638769434336639,2329997,1.1029101196677955,112028621860,INR,113.38241339362457,2.6759,INR,2.6507595519410834,0,Technology services,Buy
